tag time posX posY posZ rotX rotY rotZ rotW
head 915.377 -0.0359696 -0.039292 0.99858 0.671244 -0.00420264 -0.00095165 -0.00420264
hip 915.377 -0.0698939 0.00675469 0.997532 0.55862 0.011138 0.0174424 0.011138
lHand 915.377 0.119186 0.186487 0.975201 0.562032 0.345155 -0.64814 0.345155
rHand 915.377 -0.282626 0.0979059 0.954221 0.641985 -0.312412 0.626642 -0.312412
lFoot 915.377 0.470656 0.132679 0.872284 -0.98448 0.0207233 -0.0484464 0.0207233
rFoot 915.377 -0.872485 0.0898808 0.480303 -0.984378 -0.0654028 0.033149 -0.0654028
head 915.389 -0.0360424 -0.039364 0.998575 0.671296 -0.00404368 -0.000819852 -0.00404368
hip 915.389 -0.0700129 0.00673608 0.997523 0.558178 0.0109697 0.0176052 0.0109697
lHand 915.389 0.116967 0.185238 0.975708 0.555334 0.346827 -0.651588 0.346827
rHand 915.389 -0.282826 0.0977598 0.954176 0.641898 -0.312442 0.626649 -0.312442
lFoot 915.389 0.470004 0.13143 0.872825 -0.98452 0.0206117 -0.0483019 0.0206117
rFoot 915.389 -0.872536 0.0898544 0.480216 -0.984373 -0.0654575 0.0331035 -0.0654575
head 915.4 -0.0362014 -0.0393288 0.99857 0.67142 -0.00381639 -0.000739143 -0.00381639
hip 915.4 -0.0701251 0.0066243 0.997516 0.558083 0.0109787 0.0177754 0.0109787
lHand 915.4 0.118412 0.186565 0.975281 0.552811 0.343122 -0.650956 0.343122
rHand 915.4 -0.283004 0.0978123 0.954118 0.641982 -0.31226 0.626718 -0.31226
lFoot 915.4 0.469513 0.132134 0.872983 -0.984498 0.0205044 -0.0483599 0.0205044
rFoot 915.4 -0.872346 0.0901493 0.480506 -0.984377 -0.0654965 0.0329579 -0.0654965
head 915.411 -0.0362876 -0.0393645 0.998566 0.671598 -0.00347586 -0.000575038 -0.00347586
hip 915.411 -0.0703117 0.0066413 0.997503 0.558245 0.0111702 0.0179636 0.0111702
lHand 915.411 0.12028 0.188224 0.974733 0.552105 0.338183 -0.649088 0.338183
rHand 915.411 -0.282746 0.0975973 0.954217 0.641884 -0.312065 0.626798 -0.312065
lFoot 915.411 0.470541 0.132775 0.872332 -0.984467 0.0204557 -0.0485924 0.0204557
rFoot 915.411 -0.872206 0.0898893 0.480808 -0.984377 -0.0656277 0.0329784 -0.0656277
head 915.422 -0.0363698 -0.0393861 0.998562 0.671698 -0.00319392 -0.000415184 -0.00319392
hip 915.422 -0.0703302 0.00657378 0.997502 0.558411 0.0113481 0.0181559 0.0113481
lHand 915.422 0.121923 0.189253 0.97433 0.551807 0.331234 -0.648463 0.331234
rHand 915.422 -0.282985 0.0975218 0.954154 0.641802 -0.311699 0.626795 -0.311699
