tag time posX posY posZ rotX rotY rotZ rotW
head 1639.19 0.0793188 0.00916178 0.996807 0.668396 0.00693829 0.0573946 0.00693829
hip 1639.19 0.155755 0.0675255 0.985485 0.621418 0.00585033 0.0201704 0.00585033
lHand 1639.19 0.587197 -0.123065 0.800034 0.194583 0.294917 -0.934369 0.294917
rHand 1639.19 -0.26627 -0.2218 0.938033 -0.0972859 0.013144 -0.993988 0.013144
lFoot 1639.19 0.944647 0.198801 0.260997 -0.97096 -0.0679935 -0.0395623 -0.0679935
rFoot 1639.19 0.588654 0.42349 0.68858 -0.98647 0.0535258 0.0404553 0.0535258
head 1639.2 0.0793017 0.00918585 0.996808 0.668436 0.00717957 0.0570667 0.00717957
hip 1639.2 0.155627 0.0678049 0.985486 0.621963 0.00599172 0.0201017 0.00599172
lHand 1639.2 0.587289 -0.12332 0.799927 0.194572 0.294931 -0.934409 0.294931
rHand 1639.2 -0.266476 -0.221663 0.938007 -0.0973493 0.0131756 -0.994 0.0131756
lFoot 1639.2 0.944639 0.198815 0.261016 -0.970966 -0.0679803 -0.0396432 -0.0679803
rFoot 1639.2 0.589161 0.424102 0.68777 -0.986514 0.0531367 0.0400133 0.0531367
head 1639.22 0.0792294 0.00931766 0.996813 0.668358 0.0074545 0.0565819 0.0074545
hip 1639.22 0.155595 0.0681822 0.985465 0.622171 0.00534059 0.0195842 0.00534059
lHand 1639.22 0.587196 -0.123511 0.799966 0.194867 0.29504 -0.934345 0.29504
rHand 1639.22 -0.266649 -0.221364 0.938028 -0.0968579 0.0125932 -0.994059 0.0125932
lFoot 1639.22 0.944435 0.199258 0.261417 -0.970862 -0.0682471 -0.0399463 -0.0682471
rFoot 1639.22 0.59148 0.419717 0.688469 -0.98663 0.0525873 0.0391822 0.0525873
head 1639.23 0.0792124 0.00938567 0.996813 0.66828 0.00765442 0.0562163 0.00765442
hip 1639.23 0.155617 0.0684637 0.985442 0.621947 0.00437156 0.019019 0.00437156
lHand 1639.23 0.587129 -0.123785 0.799973 0.195487 0.295563 -0.934063 0.295563
rHand 1639.23 -0.267022 -0.221128 0.937977 -0.0962476 0.0120512 -0.99411 0.0120512
lFoot 1639.23 0.944377 0.199353 0.261553 -0.97081 -0.0683289 -0.0402172 -0.0683289
rFoot 1639.23 0.591282 0.420694 0.688042 -0.986688 0.0524967 0.0390559 0.0524967
head 1639.24 0.0791739 0.0094697 0.996816 0.66822 0.00776307 0.0559878 0.00776307
hip 1639.24 0.15535 0.0688435 0.985458 0.621722 0.00388741 0.018771 0.00388741
lHand 1639.24 0.587263 -0.124247 0.799803 0.196009 0.294595 -0.934268 0.294595
rHand 1639.24 -0.267065 -0.220816 0.938039 -0.0963096 0.0118987 -0.994097 0.0118987
lFoot 1639.24 0.944346 0.199333 0.26168 -0.970774 -0.0682698 -0.0403343 -0.0682698
rFoot 1639.24 0.591521 0.422557 0.686694 -0.986676 0.0531983 0.0390541 0.0531983
head 1639.25 0.079147 0.00951541 0.996818 0.668164 0.00795223 0.0557766 0.00795223
hip 1639.25 0.155007 0.0690441 0.985498 0.621319 0.00388212 0.0190119 0.00388212
lHand 1639.25 0.587398 -0.125292 0.79954 0.196428 0.292988 -0.934685 0.292988
rHand 1639.25 -0.267178 -0.220379 0.938109 -0.0965081 0.0121892 -0.99406 0.0121892
lFoot 1639.25 0.94445 0.198973 0.261579 -0.97073 -0.0679252 -0.0406889 -0.0679252
rFoot 1639.25 0.596497 0.415906 0.68645 -0.986623 0.0543817 0.0386104 0.0543817
head 1639.26 0.0790759 0.00959205 0.996822 0.668212 0.00813285 0.055519 0.00813285
hip 1639.26 0.154652 0.0692819 0.985537 0.621166 0.00386056 0.0193933 0.00386056
lHand 1639.26 0.587738 -0.125988 0.799181 0.197248 0.291959 -0.934785 0.291959
rHand 1639.26 -0.267301 -0.219909 0.938184 -0.0965186 0.012508 -0.994034 0.012508
lFoot 1639.26 0.944485 0.19868 0.261677 -0.9707 -0.0669938 -0.0411983 -0.0669938
rFoot 1639.26 0.59855 0.416663 0.684199 -0.986577 0.0552784 0.0381868 0.0552784
head 1639.27 0.0789513 0.00969227 0.996831 0.668359 0.00847005 0.055336 0.00847005
hip 1639.27 0.154263 0.0697164 0.985567 0.621222 0.00395637 0.0198587 0.00395637
lHand 1639.27 0.588016 -0.127299 0.798769 0.198235 0.28941 -0.935266 0.28941
rHand 1639.27 -0.267389 -0.219363 0.938287 -0.0964452 0.013039 -0.994023 0.013039
lFoot 1639.27 0.944523 0.198325 0.261809 -0.970655 -0.0662929 -0.0418642 -0.0662929
rFoot 1639.27 0.598666 0.415868 0.684582 -0.986674 0.0545648 0.0382338 0.0545648
head 1639.28 0.0788113 0.00976891 0.996842 0.668593 0.00882484 0.0551545 0.00882484
hip 1639.28 0.153929 0.0700175 0.985598 0.621308 0.00400674 0.0200771 0.00400674
lHand 1639.28 0.588125 -0.128046 0.798569 0.198531 0.287638 -0.93572 0.287638
rHand 1639.28 -0.267549 -0.218852 0.938361 -0.0962728 0.0133271 -0.994033 0.0133271
lFoot 1639.28 0.944423 0.198303 0.262186 -0.970574 -0.0663374 -0.0422279 -0.0663374
rFoot 1639.28 0.600081 0.411694 0.685865 -0.986796 0.0536641 0.0381032 0.0536641
head 1639.29 0.078596 0.00986026 0.996858 0.668775 0.00929637 0.0550584 0.00929637
hip 1639.29 0.153603 0.0703908 0.985622 0.621268 0.00389677 0.02024 0.00389677
lHand 1639.29 0.588467 -0.129399 0.798099 0.20071 0.285626 -0.93571 0.285626
rHand 1639.29 -0.267776 -0.218436 0.938393 -0.096122 0.0138797 -0.994045 0.0138797
lFoot 1639.29 0.944277 0.198431 0.262612 -0.970439 -0.0665084 -0.0426345 -0.0665084
rFoot 1639.29 0.601842 0.411523 0.684423 -0.986888 0.0531339 0.037585 0.0531339
head 1639.3 0.0784159 0.00998437 0.996871 0.668874 0.00971086 0.0549198 0.00971086
hip 1639.3 0.153261 0.0711129 0.985624 0.621244 0.00344787 0.0201093 0.00344787
lHand 1639.3 0.588605 -0.130736 0.79778 0.20307 0.28388 -0.935557 0.28388
rHand 1639.3 -0.267851 -0.217967 0.938481 -0.0959123 0.0141502 -0.994071 0.0141502
lFoot 1639.3 0.944006 0.198925 0.263212 -0.970191 -0.0668939 -0.0435626 -0.0668939
rFoot 1639.3 0.603449 0.412186 0.682607 -0.986909 0.05348 0.0372385 0.05348
head 1639.32 0.078166 0.010089 0.996889 0.668938 0.0100693 0.0548258 0.0100693
hip 1639.32 0.153035 0.0716195 0.985622 0.621594 0.00279935 0.0202529 0.00279935
lHand 1639.32 0.588746 -0.132169 0.797439 0.205906 0.282268 -0.935231 0.282268
rHand 1639.32 -0.268369 -0.217646 0.938407 -0.0953632 0.0140757 -0.994134 0.0140757
lFoot 1639.32 0.943728 0.199584 0.263712 -0.96999 -0.0680465 -0.0437276 -0.0680465
rFoot 1639.32 0.606004 0.407325 0.683261 -0.986896 0.053906 0.0369242 0.053906
head 1639.33 0.0778982 0.0102215 0.996909 0.669088 0.0104637 0.0548098 0.0104637
hip 1639.33 0.152683 0.0722052 0.985634 0.622229 0.00241436 0.0207052 0.00241436
lHand 1639.33 0.589054 -0.1336 0.796973 0.208736 0.27992 -0.93508 0.27992
