tag time posX posY posZ rotX rotY rotZ rotW
head 3549.57 0.0287704 -0.13533 0.990383 0.710169 -0.00904636 0.0361733 -0.00904636
hip 3549.57 0.060827 -0.182046 0.981407 0.543654 -0.00772457 0.0263923 -0.00772457
lHand 3549.57 0.482173 -0.380967 0.788907 0.415064 0.292695 -0.716185 0.292695
rHand 3549.57 -0.264796 -0.510702 0.817965 0.651349 -0.296186 0.486672 -0.296186
lFoot 3549.57 0.617841 -0.74108 0.262818 -0.987674 -0.0253277 -0.0415108 -0.0253277
rFoot 3549.57 -0.264863 -0.952973 0.147273 -0.924408 0.181951 0.09777 0.181951
head 3549.58 0.028777 -0.135418 0.990371 0.710266 -0.00878043 0.0361132 -0.00878043
hip 3549.58 0.0609275 -0.182036 0.981402 0.543715 -0.00768978 0.0262306 -0.00768978
lHand 3549.58 0.482381 -0.380822 0.788849 0.414879 0.293058 -0.716285 0.293058
rHand 3549.58 -0.264038 -0.511097 0.817963 0.653765 -0.293775 0.484575 -0.293775
lFoot 3549.58 0.617265 -0.741562 0.262812 -0.987671 -0.025309 -0.0414106 -0.025309
rFoot 3549.58 -0.264882 -0.952968 0.147271 -0.924415 0.182101 0.0978126 0.182101
head 3549.59 0.0288649 -0.135561 0.990348 0.710254 -0.00864676 0.0361416 -0.00864676
hip 3549.59 0.0610733 -0.181978 0.981404 0.543804 -0.00781224 0.0261236 -0.00781224
lHand 3549.59 0.482346 -0.380654 0.788952 0.414736 0.293406 -0.716376 0.293406
rHand 3549.59 -0.261999 -0.512363 0.817827 0.658256 -0.28864 0.479384 -0.28864
lFoot 3549.59 0.617006 -0.741737 0.262924 -0.987697 -0.0249611 -0.0411695 -0.0249611
rFoot 3549.59 -0.265362 -0.952791 0.147554 -0.924441 0.181903 0.0977158 0.181903
head 3549.61 0.0289534 -0.13575 0.99032 0.710341 -0.00874576 0.0363705 -0.00874576
hip 3549.61 0.0609651 -0.1822 0.98137 0.543879 -0.0078781 0.0261856 -0.0078781
lHand 3549.61 0.482484 -0.380556 0.788915 0.414783 0.293649 -0.716283 0.293649
rHand 3549.61 -0.261081 -0.513478 0.817421 0.66026 -0.284252 0.477218 -0.284252
lFoot 3549.61 0.617334 -0.741574 0.262616 -0.9877 -0.0249306 -0.0412757 -0.0249306
rFoot 3549.61 -0.265413 -0.952789 0.147475 -0.924469 0.181713 0.0979024 0.181713
head 3549.62 0.028982 -0.135855 0.990305 0.710517 -0.00863342 0.0365033 -0.00863342
hip 3549.62 0.0611119 -0.182218 0.981357 0.543929 -0.00804489 0.0261309 -0.00804489
lHand 3549.62 0.482539 -0.380518 0.7889 0.414536 0.293806 -0.716302 0.293806
rHand 3549.62 -0.260654 -0.514082 0.817178 0.660739 -0.280538 0.477681 -0.280538
lFoot 3549.62 0.61743 -0.74147 0.262683 -0.987679 -0.025086 -0.0412208 -0.025086
rFoot 3549.62 -0.265334 -0.952812 0.147466 -0.92443 0.181891 0.0979797 0.181891
head 3549.63 0.0290274 -0.135971 0.990287 0.710615 -0.00847906 0.0365223 -0.00847906
hip 3549.63 0.0612491 -0.182183 0.981355 0.54417 -0.00819702 0.0257727 -0.00819702
lHand 3549.63 0.482631 -0.380416 0.788892 0.414126 0.293878 -0.716571 0.293878
rHand 3549.63 -0.25999 -0.514647 0.817033 0.661027 -0.277547 0.477625 -0.277547
lFoot 3549.63 0.617366 -0.741635 0.262367 -0.987701 -0.0249688 -0.0411796 -0.0249688
rFoot 3549.63 -0.26538 -0.952793 0.147507 -0.924393 0.182016 0.0979912 0.182016
head 3549.64 0.0290567 -0.136105 0.990268 0.710831 -0.00823666 0.0365057 -0.00823666
hip 3549.64 0.0616127 -0.18207 0.981353 0.544388 -0.00840583 0.0254349 -0.00840583
lHand 3549.64 0.482713 -0.380352 0.788873 0.413833 0.293706 -0.716943 0.293706
rHand 3549.64 -0.259641 -0.515119 0.816847 0.659856 -0.27491 0.478536 -0.27491
lFoot 3549.64 0.617685 -0.741394 0.262298 -0.987715 -0.0248442 -0.0411205 -0.0248442
rFoot 3549.64 -0.26551 -0.952754 0.147528 -0.92435 0.182122 0.0982092 0.182122
head 3549.65 0.0290152 -0.136171 0.99026 0.711041 -0.00795751 0.0366016 -0.00795751
hip 3549.65 0.0618134 -0.182083 0.981338 0.544576 -0.00854407 0.0252118 -0.00854407
lHand 3549.65 0.482765 -0.380275 0.788879 0.413579 0.293678 -0.717234 0.293678
