tag time posX posY posZ rotX rotY rotZ rotW
head 1575.85 0.024779 0.180851 0.983198 0.69696 -0.0173162 -0.0233442 -0.0173162
hip 1575.85 0.0347613 0.319698 0.946882 0.535255 -0.04396 -0.0161627 -0.04396
lHand 1575.85 0.370212 0.0565093 0.927227 0.402791 0.39022 -0.732138 0.39022
rHand 1575.85 -0.39017 0.152545 0.908018 -0.31184 0.38836 -0.771366 0.38836
lFoot 1575.85 0.327489 0.919964 0.215448 -0.940398 0.0363345 -0.0637109 0.0363345
rFoot 1575.85 -0.377134 0.904719 0.198124 -0.986007 0.004989 0.066756 0.004989
head 1575.87 0.0247268 0.180842 0.983201 0.696733 -0.0173217 -0.023307 -0.0173217
hip 1575.87 0.0344097 0.320277 0.946699 0.535484 -0.0440245 -0.0162438 -0.0440245
lHand 1575.87 0.369816 0.0552571 0.92746 0.403044 0.388921 -0.732528 0.388921
rHand 1575.87 -0.389537 0.151996 0.908382 -0.310483 0.387466 -0.770928 0.387466
lFoot 1575.87 0.327339 0.920038 0.215357 -0.940371 0.0360378 -0.0637245 0.0360378
rFoot 1575.87 -0.377101 0.904732 0.198127 -0.986006 0.00506981 0.0666999 0.00506981
head 1575.88 0.0246543 0.180913 0.98319 0.696455 -0.0175119 -0.0233804 -0.0175119
hip 1575.88 0.0344719 0.320053 0.946772 0.535735 -0.0441484 -0.0166174 -0.0441484
lHand 1575.88 0.368929 0.0538529 0.927896 0.403861 0.387626 -0.73238 0.387626
rHand 1575.88 -0.38847 0.15194 0.908848 -0.308635 0.38668 -0.770314 0.38668
lFoot 1575.88 0.327427 0.919996 0.215403 -0.940354 0.0360769 -0.063812 0.0360769
rFoot 1575.88 -0.377068 0.904728 0.198208 -0.985996 0.00501238 0.0667811 0.00501238
head 1575.89 0.0245037 0.180929 0.983191 0.696144 -0.0176844 -0.0233802 -0.0176844
hip 1575.89 0.0345312 0.319828 0.946846 0.536004 -0.0442286 -0.0169601 -0.0442286
lHand 1575.89 0.368122 0.052386 0.9283 0.404436 0.386399 -0.732496 0.386399
rHand 1575.89 -0.387812 0.151058 0.909276 -0.30805 0.385119 -0.768918 0.385119
lFoot 1575.89 0.327263 0.919997 0.215648 -0.940313 0.0361744 -0.0637618 0.0361744
rFoot 1575.89 -0.377152 0.9047 0.198177 -0.986008 0.00506508 0.0665611 0.00506508
head 1575.9 0.024476 0.180873 0.983202 0.695947 -0.0178598 -0.023514 -0.0178598
hip 1575.9 0.0343909 0.319867 0.946838 0.536177 -0.0442536 -0.0172836 -0.0442536
lHand 1575.9 0.367331 0.0507522 0.928705 0.40558 0.38506 -0.732025 0.38506
rHand 1575.9 -0.38686 0.150597 0.909758 -0.304257 0.383611 -0.768899 0.383611
lFoot 1575.9 0.327205 0.919997 0.215738 -0.940271 0.0362466 -0.0638281 0.0362466
rFoot 1575.9 -0.376999 0.904709 0.198426 -0.98599 0.00523391 0.0664794 0.00523391
head 1575.91 0.0244294 0.180878 0.983202 0.695714 -0.0180935 -0.0236545 -0.0180935
hip 1575.91 0.0341242 0.320201 0.946735 0.536402 -0.0442372 -0.0175186 -0.0442372
lHand 1575.91 0.366593 0.0493272 0.929073 0.406382 0.383638 -0.731917 0.383638
rHand 1575.91 -0.385604 0.1501 0.910373 -0.301435 0.382298 -0.76784 0.382298
lFoot 1575.91 0.327304 0.919946 0.215805 -0.940235 0.0362245 -0.0638989 0.0362245
rFoot 1575.91 -0.377074 0.904686 0.198389 -0.986002 0.00519852 0.06658 0.00519852
head 1575.92 0.0244257 0.180878 0.983202 0.695509 -0.0184335 -0.0238386 -0.0184335
hip 1575.92 0.0342009 0.319946 0.946818 0.536525 -0.0443431 -0.0177835 -0.0443431
lHand 1575.92 0.36611 0.048123 0.929327 0.406861 0.382423 -0.731835 0.382423
rHand 1575.92 -0.384831 0.149452 0.910807 -0.299424 0.380991 -0.766852 0.380991
lFoot 1575.92 0.327368 0.919896 0.215918 -0.940202 0.0362281 -0.0638616 0.0362281
rFoot 1575.92 -0.377088 0.90483 0.197705 -0.98601 0.00533931 0.0663889 0.00533931
head 1575.93 0.0243507 0.180991 0.983183 0.695328 -0.0188112 -0.0240343 -0.0188112
hip 1575.93 0.0337644 0.320762 0.946558 0.53662 -0.0445158 -0.0180361 -0.0445158
lHand 1575.93 0.365476 0.0468675 0.92964 0.407355 0.381452 -0.731645 0.381452
rHand 1575.93 -0.384274 0.148657 0.911172 -0.298108 0.379536 -0.765777 0.379536
lFoot 1575.93 0.326958 0.920269 0.214947 -0.940195 0.0361664 -0.0639107 0.0361664
rFoot 1575.93 -0.37706 0.90486 0.19762 -0.986001 0.00542103 0.066344 0.00542103
head 1575.94 0.0242978 0.181041 0.983175 0.695179 -0.019254 -0.0242576 -0.019254
hip 1575.94 0.0338202 0.320554 0.946626 0.536794 -0.0446062 -0.0183585 -0.0446062
lHand 1575.94 0.365054 0.0458457 0.929857 0.407541 0.380371 -0.731753 0.380371
rHand 1575.94 -0.38381 0.147561 0.911546 -0.29819 0.37809 -0.764648 0.37809
lFoot 1575.94 0.326814 0.920286 0.215094 -0.940138 0.0361407 -0.0638794 0.0361407
rFoot 1575.94 -0.377057 0.90488 0.197536 -0.986017 0.00543164 0.066297 0.00543164
head 1575.96 0.0243296 0.181055 0.983172 0.695053 -0.019787 -0.0245146 -0.019787
hip 1575.96 0.0338673 0.320416 0.946671 0.537215 -0.044678 -0.0186715 -0.044678
lHand 1575.96 0.364395 0.044874 0.930163 0.407908 0.379617 -0.731619 0.379617
rHand 1575.96 -0.38348 0.14616 0.911911 -0.299713 0.376747 -0.763618 0.376747
lFoot 1575.96 0.327224 0.92003 0.215568 -0.94009 0.0361711 -0.0639056 0.0361711
rFoot 1575.96 -0.376945 0.904772 0.198244 -0.986009 0.00550328 0.0662495 0.00550328
head 1575.97 0.0243372 0.180998 0.983182 0.694903 -0.0203958 -0.024858 -0.0203958
hip 1575.97 0.0336641 0.320833 0.946537 0.537638 -0.0447728 -0.0189425 -0.0447728
lHand 1575.97 0.363846 0.043794 0.930429 0.408296 0.37876 -0.731502 0.37876
rHand 1575.97 -0.383393 0.144152 0.912266 -0.301101 0.375572 -0.762722 0.375572
lFoot 1575.97 0.327305 0.919975 0.21568 -0.940044 0.0364137 -0.0639722 0.0364137
rFoot 1575.97 -0.377025 0.904745 0.198215 -0.986034 0.00553647 0.0661567 0.00553647
head 1575.98 0.0243072 0.181036 0.983176 0.69475 -0.020919 -0.0252279 -0.020919
hip 1575.98 0.0337487 0.3207 0.946579 0.538028 -0.0449513 -0.019169 -0.0449513
lHand 1575.98 0.363338 0.0428634 0.930671 0.408594 0.378194 -0.731234 0.378194
rHand 1575.98 -0.383947 0.142491 0.912294 -0.305343 0.37497 -0.762285 0.37497
lFoot 1575.98 0.327335 0.919926 0.215844 -0.939967 0.0364665 -0.0640485 0.0364665
rFoot 1575.98 -0.377005 0.904761 0.198177 -0.986041 0.00557537 0.0660859 0.00557537
head 1575.99 0.0242712 0.181053 0.983174 0.694585 -0.0213921 -0.0256465 -0.0213921
hip 1575.99 0.0338033 0.320533 0.946634 0.538268 -0.0451092 -0.0195192 -0.0451092
lHand 1575.99 0.362832 0.0418786 0.930913 0.408884 0.377653 -0.730963 0.377653
rHand 1575.99 -0.384603 0.141113 0.912232 -0.308572 0.374338 -0.761755 0.374338
lFoot 1575.99 0.32732 0.919905 0.215954 -0.939931 0.0364928 -0.0640938 0.0364928
rFoot 1575.99 -0.377081 0.90474 0.198131 -0.986057 0.00586089 0.0659245 0.00586089
head 1576 0.0242596 0.18102 0.98318 0.694392 -0.0219566 -0.0260853 -0.0219566
hip 1576 0.033686 0.320659 0.946595 0.538444 -0.0452174 -0.0198558 -0.0452174
lHand 1576 0.362359 0.0410179 0.931136 0.409203 0.377089 -0.730666 0.377089
rHand 1576 -0.385262 0.139947 0.912134 -0.312283 0.374451 -0.761783 0.374451
lFoot 1576 0.327301 0.9199 0.216006 -0.939876 0.0365325 -0.0640701 0.0365325
rFoot 1576 -0.377142 0.904677 0.198303 -0.986063 0.00577748 0.0658769 0.00577748
head 1576.01 0.0242292 0.181046 0.983176 0.694183 -0.0224735 -0.0264316 -0.0224735
hip 1576.01 0.0335477 0.320899 0.946519 0.538539 -0.045439 -0.0202085 -0.045439
lHand 1576.01 0.361938 0.040242 0.931333 0.409414 0.376485 -0.730488 0.376485
rHand 1576.01 -0.386104 0.138796 0.911954 -0.314854 0.374481 -0.762016 0.374481
lFoot 1576.01 0.327278 0.919876 0.216142 -0.939825 0.0365154 -0.064042 0.0365154
rFoot 1576.01 -0.377187 0.904654 0.198322 -0.986052 0.00580111 0.0659062 0.00580111
head 1576.02 0.0242468 0.181048 0.983175 0.693964 -0.022961 -0.0267981 -0.022961
hip 1576.02 0.0336368 0.320724 0.946575 0.538484 -0.0454837 -0.0203186 -0.0454837
lHand 1576.02 0.361418 0.0394684 0.931568 0.409756 0.375936 -0.730222 0.375936
rHand 1576.02 -0.387199 0.138382 0.911552 -0.317817 0.375069 -0.762819 0.375069
lFoot 1576.02 0.327332 0.919832 0.216249 -0.939759 0.036523 -0.064099 0.036523
rFoot 1576.02 -0.377074 0.904627 0.19866 -0.986054 0.00593801 0.0657652 0.00593801
head 1576.03 0.0242524 0.18101 0.983182 0.693786 -0.0234219 -0.0272232 -0.0234219
hip 1576.03 0.0333836 0.321103 0.946456 0.538498 -0.0455261 -0.0205593 -0.0455261
lHand 1576.03 0.361051 0.0388591 0.931736 0.410071 0.375597 -0.729885 0.375597
rHand 1576.03 -0.387972 0.138123 0.911263 -0.320369 0.375841 -0.763804 0.375841
lFoot 1576.03 0.327343 0.919801 0.216363 -0.939676 0.0365992 -0.0642011 0.0365992
rFoot 1576.03 -0.37719 0.904573 0.198683 -0.986046 0.00597091 0.0657522 0.00597091
head 1576.04 0.0242077 0.181051 0.983176 0.693593 -0.0237762 -0.02767 -0.0237762
hip 1576.04 0.0334378 0.320929 0.946513 0.538519 -0.0456747 -0.0209357 -0.0456747
lHand 1576.04 0.360623 0.038195 0.931929 0.410371 0.375031 -0.729651 0.375031
rHand 1576.04 -0.388282 0.138192 0.91112 -0.322509 0.376219 -0.765024 0.376219
lFoot 1576.04 0.327346 0.919759 0.216535 -0.939622 0.0367415 -0.0640909 0.0367415
rFoot 1576.04 -0.377205 0.904563 0.1987 -0.986049 0.00606425 0.0656799 0.00606425
head 1576.06 0.0241892 0.181038 0.983179 0.693386 -0.024296 -0.0280125 -0.024296
hip 1576.06 0.0335088 0.320717 0.946582 0.538435 -0.0457756 -0.0210812 -0.0457756
lHand 1576.06 0.360278 0.0378945 0.932075 0.410655 0.374678 -0.729522 0.374678
rHand 1576.06 -0.389348 0.138623 0.9106 -0.323117 0.376559 -0.76667 0.376559
lFoot 1576.06 0.32744 0.919702 0.216636 -0.939581 0.0368264 -0.0643799 0.0368264
rFoot 1576.06 -0.377299 0.904521 0.198715 -0.986045 0.00623319 0.0656354 0.00623319
head 1576.07 0.0241489 0.181072 0.983173 0.693275 -0.0248175 -0.0281608 -0.0248175
hip 1576.07 0.0331795 0.321145 0.946449 0.538615 -0.0457307 -0.0212051 -0.0457307
lHand 1576.07 0.359927 0.0374907 0.932227 0.411085 0.374375 -0.729283 0.374375
rHand 1576.07 -0.389974 0.139166 0.910249 -0.323488 0.376918 -0.768025 0.376918
lFoot 1576.07 0.327192 0.919835 0.216447 -0.939578 0.0366898 -0.0642554 0.0366898
rFoot 1576.07 -0.377086 0.904601 0.198757 -0.986036 0.00627941 0.0654795 0.00627941
head 1576.08 0.0241374 0.181064 0.983175 0.693182 -0.0254489 -0.0283243 -0.0254489
hip 1576.08 0.0332583 0.320994 0.946497 0.538704 -0.0458249 -0.0212732 -0.0458249
lHand 1576.08 0.359677 0.0371689 0.932336 0.411225 0.374109 -0.729252 0.374109
rHand 1576.08 -0.390278 0.140548 0.909906 -0.322227 0.377819 -0.769722 0.377819
lFoot 1576.08 0.327133 0.919823 0.216587 -0.939556 0.0364073 -0.0642362 0.0364073
rFoot 1576.08 -0.37712 0.904597 0.198708 -0.986032 0.00648159 0.0655183 0.00648159
head 1576.09 0.0240958 0.181069 0.983175 0.693122 -0.0261224 -0.0285756 -0.0261224
hip 1576.09 0.0333173 0.320806 0.946559 0.538786 -0.0459565 -0.0215593 -0.0459565
lHand 1576.09 0.359643 0.03707 0.932353 0.411084 0.373975 -0.729292 0.373975
rHand 1576.09 -0.390764 0.141428 0.909561 -0.321825 0.37903 -0.770788 0.37903
lFoot 1576.09 0.327216 0.919775 0.216663 -0.939518 0.0364094 -0.0642909 0.0364094
rFoot 1576.09 -0.37716 0.904597 0.198631 -0.986018 0.00643447 0.065447 0.00643447
head 1576.1 0.0240746 0.181178 0.983156 0.693108 -0.026581 -0.0289318 -0.026581
hip 1576.1 0.0329762 0.32114 0.946458 0.538907 -0.0459077 -0.0219495 -0.0459077
lHand 1576.1 0.359439 0.0368744 0.93244 0.411145 0.37378 -0.72916 0.37378
rHand 1576.1 -0.391327 0.142539 0.909146 -0.321822 0.380636 -0.771245 0.380636
