tag time posX posY posZ rotX rotY rotZ rotW
head 1487.88 0.0371849 -0.021587 0.999075 0.669619 -0.00953817 0.0294715 -0.00953817
hip 1487.88 0.105736 0.00413115 0.994386 0.517339 -0.0382103 -0.00948234 -0.0382103
lHand 1487.88 0.372675 -0.163869 0.913379 0.621158 0.469009 -0.490644 0.469009
rHand 1487.88 -0.203635 -0.0802287 0.975754 0.101623 -0.472051 0.862866 -0.472051
lFoot 1487.88 0.938897 -0.0607747 0.338789 -0.98482 -0.0245592 -0.0480491 -0.0245592
rFoot 1487.88 -0.358262 0.348865 0.865991 -0.973396 0.0525587 0.055661 0.0525587
head 1487.89 0.0372028 -0.0216595 0.999073 0.669853 -0.00956164 0.0295524 -0.00956164
hip 1487.89 0.105555 0.00397344 0.994406 0.517027 -0.0379983 -0.00941441 -0.0379983
lHand 1487.89 0.372654 -0.16402 0.91336 0.62099 0.469147 -0.491019 0.469147
rHand 1487.89 -0.203772 -0.0803612 0.975715 0.101521 -0.471916 0.863005 -0.471916
lFoot 1487.89 0.938809 -0.0606767 0.339053 -0.984803 -0.0245813 -0.0480799 -0.0245813
rFoot 1487.89 -0.357887 0.348461 0.86631 -0.973424 0.052494 0.0555058 0.052494
head 1487.9 0.0372116 -0.0216957 0.999072 0.67013 -0.00965421 0.0296601 -0.00965421
hip 1487.9 0.105442 0.00372187 0.994419 0.516624 -0.0378435 -0.00948526 -0.0378435
lHand 1487.9 0.372527 -0.164088 0.913399 0.620858 0.469361 -0.491342 0.469361
rHand 1487.9 -0.203843 -0.0803643 0.9757 0.101416 -0.471659 0.86315 -0.471659
lFoot 1487.9 0.938773 -0.0608094 0.339127 -0.984797 -0.0245164 -0.0480657 -0.0245164
rFoot 1487.9 -0.358257 0.347861 0.866398 -0.973434 0.052405 0.0555324 0.052405
head 1487.91 0.037186 -0.0218251 0.99907 0.670387 -0.00960035 0.0297824 -0.00960035
hip 1487.91 0.105141 0.00357639 0.994451 0.516251 -0.0375241 -0.00960645 -0.0375241
lHand 1487.91 0.372506 -0.164128 0.913401 0.62096 0.46934 -0.491474 0.46934
rHand 1487.91 -0.203898 -0.0805018 0.975677 0.101405 -0.471321 0.863305 -0.471321
lFoot 1487.91 0.938712 -0.0606755 0.339321 -0.984775 -0.0245213 -0.048104 -0.0245213
rFoot 1487.91 -0.357828 0.348141 0.866462 -0.973414 0.052478 0.0554442 0.052478
head 1487.93 0.0371766 -0.0218482 0.99907 0.670644 -0.00965823 0.0298768 -0.00965823
hip 1487.93 0.104951 0.00335593 0.994472 0.515814 -0.0372817 -0.00955798 -0.0372817
lHand 1487.93 0.372256 -0.164115 0.913505 0.620985 0.469372 -0.491628 0.469372
rHand 1487.93 -0.204264 -0.080526 0.975598 0.101451 -0.470962 0.86347 -0.470962
lFoot 1487.93 0.93859 -0.0606645 0.339658 -0.984768 -0.0245141 -0.0480518 -0.0245141
rFoot 1487.93 -0.357852 0.348237 0.866414 -0.973422 0.05241 0.0554108 0.05241
head 1487.94 0.0371579 -0.0218835 0.99907 0.670838 -0.00962108 0.029959 -0.00962108
hip 1487.94 0.104909 0.00305093 0.994477 0.515319 -0.0369676 -0.00952754 -0.0369676
lHand 1487.94 0.372257 -0.164183 0.913493 0.62084 0.469455 -0.49197 0.469455
rHand 1487.94 -0.204397 -0.0805922 0.975565 0.101962 -0.470292 0.863737 -0.470292
lFoot 1487.94 0.938514 -0.0607757 0.339851 -0.984762 -0.0245993 -0.0480203 -0.0245993
rFoot 1487.94 -0.357828 0.349292 0.865999 -0.973436 0.0522852 0.0553925 0.0522852
head 1487.95 0.0371464 -0.0219716 0.999068 0.671071 -0.00956392 0.03 -0.00956392
hip 1487.95 0.104672 0.00290099 0.994503 0.514892 -0.0366025 -0.00943862 -0.0366025
lHand 1487.95 0.372247 -0.164091 0.913513 0.620909 0.469463 -0.492036 0.469463
rHand 1487.95 -0.204671 -0.0807035 0.975498 0.102004 -0.469934 0.863871 -0.469934
lFoot 1487.95 0.938658 -0.0603462 0.339528 -0.984752 -0.0246095 -0.0480475 -0.0246095
rFoot 1487.95 -0.35782 0.348862 0.866175 -0.973427 0.0522768 0.0553875 0.0522768
head 1487.96 0.0371266 -0.0220409 0.999067 0.671303 -0.00951503 0.0301315 -0.00951503
hip 1487.96 0.104495 0.0026469 0.994522 0.514393 -0.0364471 -0.00944311 -0.0364471
lHand 1487.96 0.372214 -0.164261 0.913496 0.620752 0.469616 -0.492203 0.469616
rHand 1487.96 -0.204732 -0.0808326 0.975475 0.101921 -0.469262 0.864118 -0.469262
lFoot 1487.96 0.938573 -0.0602954 0.339771 -0.984733 -0.0246499 -0.0480914 -0.0246499
rFoot 1487.96 -0.357427 0.348953 0.866301 -0.973439 0.0523812 0.0553503 0.0523812
head 1487.97 0.0370743 -0.022122 0.999068 0.671423 -0.00944113 0.0302936 -0.00944113
hip 1487.97 0.104323 0.00239703 0.99454 0.513916 -0.0362611 -0.00944342 -0.0362611
lHand 1487.97 0.372157 -0.164398 0.913495 0.620676 0.469719 -0.49235 0.469719
rHand 1487.97 -0.204653 -0.0809184 0.975484 0.101485 -0.468534 0.864397 -0.468534
lFoot 1487.97 0.938514 -0.06037 0.339923 -0.984729 -0.0246813 -0.0480669 -0.0246813
rFoot 1487.97 -0.356846 0.34844 0.866747 -0.973436 0.052408 0.0553279 0.052408
head 1487.98 0.037074 -0.0222465 0.999065 0.67153 -0.00938071 0.0303958 -0.00938071
hip 1487.98 0.104255 0.00207696 0.994548 0.513434 -0.0359696 -0.00935977 -0.0359696
lHand 1487.98 0.372244 -0.164482 0.913444 0.620707 0.469614 -0.492358 0.469614
rHand 1487.98 -0.204414 -0.0812141 0.97551 0.100914 -0.46806 0.864558 -0.46806
lFoot 1487.98 0.938396 -0.0603423 0.340253 -0.984715 -0.0247986 -0.0480414 -0.0247986
rFoot 1487.98 -0.356851 0.348234 0.866828 -0.97343 0.0523726 0.0553398 0.0523726
head 1487.99 0.0370532 -0.022333 0.999064 0.671718 -0.00943424 0.0306755 -0.00943424
hip 1487.99 0.104053 0.00188287 0.99457 0.513069 -0.0356077 -0.00923317 -0.0356077
lHand 1487.99 0.372151 -0.164603 0.91346 0.620757 0.469601 -0.49236 0.469601
rHand 1487.99 -0.20429 -0.0813551 0.975524 0.100426 -0.467473 0.864787 -0.467473
lFoot 1487.99 0.938328 -0.0604374 0.340422 -0.984693 -0.0248973 -0.048027 -0.0248973
rFoot 1487.99 -0.356462 0.348238 0.866986 -0.973429 0.0523452 0.0552561 0.0523452
head 1488 0.0370066 -0.0224265 0.999063 0.671816 -0.00944419 0.0308047 -0.00944419
hip 1488 0.103806 0.00166612 0.994596 0.512644 -0.0352557 -0.00933004 -0.0352557
lHand 1488 0.372054 -0.164799 0.913464 0.620801 0.469641 -0.492311 0.469641
rHand 1488 -0.204219 -0.0814298 0.975532 0.0998814 -0.467254 0.864866 -0.467254
lFoot 1488 0.938276 -0.0604708 0.34056 -0.984688 -0.0247279 -0.0480833 -0.0247279
rFoot 1488 -0.357437 0.348379 0.866528 -0.97343 0.0522369 0.0552096 0.0522369
head 1488.02 0.0369571 -0.0225804 0.999062 0.671885 -0.00929917 0.0308224 -0.00929917
hip 1488.02 0.103813 0.00116377 0.994596 0.51237 -0.0351387 -0.00947487 -0.0351387
lHand 1488.02 0.372089 -0.164924 0.913428 0.620975 0.469451 -0.492174 0.469451
rHand 1488.02 -0.204077 -0.0817197 0.975538 0.0992146 -0.466942 0.864997 -0.466942
lFoot 1488.02 0.938441 -0.0599951 0.34019 -0.984683 -0.024652 -0.0481497 -0.024652
rFoot 1488.02 -0.357422 0.348062 0.866661 -0.973424 0.0521819 0.0551792 0.0521819
head 1488.03 0.0368804 -0.0227042 0.999062 0.671998 -0.00897802 0.0306865 -0.00897802
hip 1488.03 0.103759 0.000982408 0.994602 0.512068 -0.0352139 -0.00955618 -0.0352139
lHand 1488.03 0.371933 -0.165034 0.913471 0.62103 0.469392 -0.492073 0.469392
rHand 1488.03 -0.203813 -0.0818147 0.975585 0.0981753 -0.466341 0.865286 -0.466341
lFoot 1488.03 0.938281 -0.059738 0.340675 -0.984651 -0.0247347 -0.0481104 -0.0247347
rFoot 1488.03 -0.357448 0.348217 0.866589 -0.973424 0.0521823 0.0551712 0.0521823
head 1488.04 0.0368025 -0.0228275 0.999062 0.672059 -0.00863113 0.0305096 -0.00863113
hip 1488.04 0.103706 0.000890913 0.994608 0.511908 -0.0353064 -0.00970566 -0.0353064
lHand 1488.04 0.371892 -0.165205 0.913457 0.621221 0.469318 -0.491905 0.469318
rHand 1488.04 -0.203393 -0.0819626 0.975661 0.0973167 -0.465636 0.865586 -0.465636
lFoot 1488.04 0.938189 -0.0597044 0.340935 -0.984628 -0.024907 -0.0481372 -0.024907
rFoot 1488.04 -0.357883 0.348271 0.866387 -0.973408 0.0521453 0.0552384 0.0521453
head 1488.05 0.0367279 -0.0229456 0.999062 0.672139 -0.00839131 0.0304788 -0.00839131
hip 1488.05 0.103799 0.000357619 0.994598 0.51156 -0.0353475 -0.00973009 -0.0353475
lHand 1488.05 0.371807 -0.165413 0.913454 0.621427 0.469182 -0.49167 0.469182
